currency,code,units,rate,date
Дирхам ОАЕ,AED,1,11.3088,2025-06-16
Австралійський долар,AUD,1,27.0946,2025-06-16
Азербайджанський манат,AZN,1,24.4255,2025-06-16
Така,BDT,1,0.33792,2025-06-16
Болгарський лев,BGN,1,24.5772,2025-06-16
Канадський долар,CAD,1,30.6149,2025-06-16
Швейцарський франк,CHF,1,51.2028,2025-06-16
Юань Женьміньбі,CNY,1,5.784,2025-06-16
Чеська крона,CZK,1,1.9397,2025-06-16
Данська крона,DKK,1,6.445,2025-06-16
Алжирський динар,DZD,1,0.3199,2025-06-16
Єгипетський фунт,EGP,1,0.8263,2025-06-16
Євро,EUR,1,48.0675,2025-06-16
Фунт стерлінгів,GBP,1,56.3986,2025-06-16
Ларі,GEL,1,15.2255,2025-06-16
Гонконгівський долар,HKD,1,5.2907,2025-06-16
Форинт,HUF,1,0.119747,2025-06-16
Рупія,IDR,1,0.0025532,2025-06-16
Новий ізраїльський шекель,ILS,1,11.7531,2025-06-16
Індійська рупія,INR,1,0.48259,2025-06-16
Єна,JPY,1,0.28817,2025-06-16
Вона,KRW,1,0.030538,2025-06-16
Теньге,KZT,1,0.080907,2025-06-16
Ліванський фунт,LBP,1,0.000464,2025-06-16
Молдовський лей,MDL,1,2.4247,2025-06-16
Мексиканське песо,MXN,1,2.1985,2025-06-16
Малайзійський ринггіт,MYR,1,9.7899,2025-06-16
Норвезька крона,NOK,1,4.1929,2025-06-16
Новозеландський долар,NZD,1,25.1385,2025-06-16
Злотий,PLN,1,11.276,2025-06-16
Румунський лей,RON,1,9.5644,2025-06-16
Сербський динар,RSD,1,0.41001,2025-06-16
Саудівський ріял,SAR,1,11.0689,2025-06-16
Шведська крона,SEK,1,4.3854,2025-06-16
Сінгапурський долар,SGD,1,32.4458,2025-06-16
Бат,THB,1,1.27842,2025-06-16
Туніський динар,TND,1,14.1752,2025-06-16
Турецька ліра,TRY,1,1.0542,2025-06-16
Долар США,USD,1,41.5306,2025-06-16
Донг,VND,1,0.0015927,2025-06-16
Срібло,XAG,1,1508.32,2025-06-16
Золото,XAU,1,141833.23,2025-06-16
СПЗ (спеціальні права запозичення),XDR,1,56.773,2025-06-16
Паладій,XPD,1,43406.95,2025-06-16
Платина,XPT,1,52198.15,2025-06-16
Ренд,ZAR,1,2.3348,2025-06-16
